Title,URL
Pairwise independence and its impact on Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000373548400004
Multiobjective Estimation of Distribution Algorithms Using Multivariate Archimedean Copulas and Average Ranking,https://www.webofscience.com/wos/woscc/full-record/WOS:000349457000056
Optimal Sensor Location in Chemical Plants Using the Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000444793100016
Estimation of Distribution Algorithms for the Multi-Mode Resource Constrained Project Scheduling Problem,https://www.webofscience.com/wos/woscc/full-record/WOS:000426929700204
Effects of Discrete Hill Climbing on Model Building for Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000321981300047
EDA-PSO: A Hybrid Paradigm Combining Estimation of Distribution Algorithms and Particle Swarm Optimization,https://www.webofscience.com/wos/woscc/full-record/WOS:000285802500039
On the Choice of the Update Strength in Estimation-of-Distribution Algorithms and Ant Colony Optimization,https://www.webofscience.com/wos/woscc/full-record/WOS:000465431800006
Estimation of distribution algorithms with solution subset selection for the next release problem,https://www.webofscience.com/wos/woscc/full-record/WOS:001222909600001
Auto-tune POIs: Estimation of distribution algorithms for efficient side-channel analysis,https://www.webofscience.com/wos/woscc/full-record/WOS:000696956800008
"The structure of evolutionary exploration: On crossover, buildings blocks, and estimation-of-distribution algorithms",https://www.webofscience.com/wos/woscc/full-record/WOS:000185074300017
Applications of Model Reuse When Using Estimation of Distribution Algorithms to Test Concurrent Software,https://www.webofscience.com/wos/woscc/full-record/WOS:000306979300012
A Copula-Based Estimation of Distribution Algorithms for Coverage Problem of Wireless Sensor Network,https://www.webofscience.com/wos/woscc/full-record/WOS:000316654000042
Time series forecasting by evolving artificial neural networks using genetic algorithms and estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000287421403060
Adaptation of a Success Story in GAs: Estimation-of-Distribution Algorithms for Tree-based Optimization Problems,https://www.webofscience.com/wos/woscc/full-record/WOS:000275055100001
Software Metrics Mining to Predict the Performance of Estimation of Distribution Algorithms in Test Data Generation,https://www.webofscience.com/wos/woscc/full-record/WOS:000271802600015
The role of a priori information in the minimization of contact potentials by means of estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000246102100024
FAULT DIAGNOSIS OF MULTIPROCESSOR SYSTEMS BASED ON GENETIC AND ESTIMATION OF DISTRIBUTION ALGORITHMS: A PERFORMANCE EVALUATION,https://www.webofscience.com/wos/woscc/full-record/WOS:000274974000001
Combining variable neighborhood search and estimation of distribution algorithms in the protein side chain placement problem,https://www.webofscience.com/wos/woscc/full-record/WOS:000259142300007
Peakbin Selection in Mass Spectrometry Data Using a Consensus Approach with Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000288225000015
Robust estimation of distribution algorithms via fitness landscape analysis for optimal low-thrust orbital maneuvers,https://www.webofscience.com/wos/woscc/full-record/WOS:001144198200001
Genetic Network Programming with Estimation of Distribution Algorithms for Class Association rule Mining in Traffic Prediction,https://www.webofscience.com/wos/woscc/full-record/WOS:000287375804004
How to Get More from Your Model: The Role of Constructive Selection in Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000625865500051
Estimation of Distribution Algorithms for Decision-Tree Induction,https://www.webofscience.com/wos/woscc/full-record/WOS:000426929700262
Blocked Stochastic sampling versus estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000180919800237
Diversity loss in general estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000241446400010
Estimation of distribution algorithms on non-separable problems,https://www.webofscience.com/wos/woscc/full-record/WOS:000273011900002
Solving Order/Degree Problems by Using EDA-GK,https://www.webofscience.com/wos/woscc/full-record/WOS:000625865500013
A Mahalanobis Distance-based Fitness Approximation Method for Estimation of Distribution Algorithms in Solving Expensive Optimization Problems,https://www.webofscience.com/wos/woscc/full-record/WOS:000521353901106
A Probabilistic Graphical Model For Estimation of Distribution Algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000288148500003
Constrained optimization problem solving using estimation of distribution algorithms,https://www.webofscience.com/wos/woscc/full-record/WOS:000222818400041
The importance of implementation details and parameter settings in black-box optimization: a case study on Gaussian estimation-of-distribution algorithms and circles-in-a-square packing problems,https://www.webofscience.com/wos/woscc/full-record/WOS:000426566200013
Estimation of Distribution Algorithms based on Nested Archimedean Copulas,https://www.webofscience.com/wos/woscc/full-record/WOS:000300876501125
